,x,,
1,area_agrc_crops_rice,,
2,area_lndu_forests_primary,,
3,area_lndu_forests_secondary,,
4,area_lndu_improved_croplands,,
5,demand_soil_fertilizer_n_kt,,
6,ef_ippu_tonne_c4f6_per_tonne_production_electronics,,
7,ef_ippu_tonne_n2o_per_tonne_production_electronics,,
8,ef_ippu_tonne_sf6_per_tonne_production_electronics,,
9,emission_co2e_ch4_fgtv_fuel_coal,,
10,emission_co2e_ch4_fgtv_fuel_natural_gas,,
11,emission_co2e_ch4_fgtv_fuel_oil,,
12,emission_co2e_co2_fgtv_fuel_coal,,
13,emission_co2e_co2_fgtv_fuel_natural_gas,,
14,emission_co2e_co2_fgtv_fuel_oil,,
15,emission_co2e_hfcs_ippu_product_use_product_use_ods_other,,
16,emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration,,
17,emission_co2e_hfcs_ippu_production_chemicals,,
18,emission_co2e_hfcs_ippu_production_electronics,,
19,emission_co2e_hfcs_ippu_production_metals,,
20,emission_co2e_n2o_fgtv_fuel_coal,,
21,emission_co2e_n2o_fgtv_fuel_natural_gas,,
22,emission_co2e_n2o_fgtv_fuel_oil,,
23,emission_co2e_n2o_ippu_production_chemicals,,
24,emission_co2e_n2o_ippu_production_other_product_manufacturing,,
25,emission_co2e_n2o_ippu_production_paper,,
26,emission_co2e_n2o_ippu_production_plastic,,
27,emission_co2e_other_fcs_ippu_product_use_product_use_ods_other,,
28,emission_co2e_other_fcs_ippu_production_chemicals,,
29,emission_co2e_other_fcs_ippu_production_electronics,,
30,emission_co2e_pfcs_ippu_product_use_product_use_ods_other,,
31,emission_co2e_pfcs_ippu_production_chemicals,,
32,emission_co2e_pfcs_ippu_production_electronics,,
33,emission_co2e_pfcs_ippu_production_other_product_manufacturing,,
34,emission_co2e_subsector_total_ccsq,,
35,emission_co2e_subsector_total_fgtv,,
36,energy_consumption_inen_total,,
37,energy_consumption_scoe_total,,
38,energy_consumption_trns_public_biofuels,,
39,energy_consumption_trns_public_diesel,,
40,energy_consumption_trns_public_electricity,,
41,energy_consumption_trns_public_gasoline,,
42,energy_consumption_trns_rail_freight_electricity,,
43,energy_consumption_trns_rail_passenger_electricity,,
44,energy_consumption_trns_road_heavy_freight_biofuels,,
45,energy_consumption_trns_road_heavy_freight_diesel,,
46,energy_consumption_trns_road_heavy_freight_electricity,,
47,energy_consumption_trns_road_heavy_freight_gasoline,,
48,energy_consumption_trns_road_heavy_regional_biofuels,,
49,energy_consumption_trns_road_heavy_regional_diesel,,
50,energy_consumption_trns_road_heavy_regional_electricity,,
51,energy_consumption_trns_road_heavy_regional_gasoline,,
52,energy_consumption_trns_road_light_biofuels,,
53,energy_consumption_trns_road_light_diesel,,
54,energy_consumption_trns_road_light_electricity,,
55,energy_consumption_trns_road_light_gasoline,,
56,energy_consumption_trns_total,,
57,energy_demand_enfu_subsector_total_pj_inen_fuel_biomass,,
58,energy_demand_enfu_subsector_total_pj_inen_fuel_coal,,
59,energy_demand_enfu_subsector_total_pj_inen_fuel_coke,,
60,energy_demand_enfu_subsector_total_pj_inen_fuel_diesel,,
61,energy_demand_enfu_subsector_total_pj_inen_fuel_gasoline,,
62,energy_demand_enfu_subsector_total_pj_inen_fuel_natural_gas,,
63,energy_demand_enfu_total_fuel_coal,,
64,energy_demand_enfu_total_fuel_natural_gas,,
65,energy_demand_enfu_total_fuel_oil,,
66,frac_ippu_cement_clinker,,
67,frac_ippu_production_with_co2_capture_cement,,
68,frac_ippu_production_with_co2_capture_chemicals,,
69,frac_ippu_production_with_co2_capture_glass,,
70,frac_ippu_production_with_co2_capture_lime_and_carbonite,,
71,frac_ippu_production_with_co2_capture_metals,,
72,frac_ippu_production_with_co2_capture_plastic,,
73,frac_wali_ww_domestic_rural_treatment_path_advanced_aerobic,,
74,frac_wali_ww_domestic_rural_treatment_path_advanced_anaerobic,,
75,frac_wali_ww_domestic_rural_treatment_path_latrine_improved,,
