"","strategy_code","region","time_period","primary_id","future_id","total_entc_costs","energylost_enfu_transmission_loss_fuel_electricity_pj","entc_total_annnual_production_before_losses","entc_total_annnual_production","entc_cost_per_pj","energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity","energy_demand_enfu_subsector_total_pj_entc_fuel_electricity","energy_demand_enfu_subsector_total_pj_inen_fuel_electricity","energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity","energy_demand_enfu_subsector_total_pj_trns_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_entc_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_inen_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_trns_fuel_electricity","total_gas_recovery_value","entc_cost_energy_demand_enfu_subsector_total_pj_residual_fuel_electricity","cost_to_reallocate","total_end_use_consumption","reallocated_cost_energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_inen_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_trns_fuel_electricity_reallocated"
"1","PFLO:ALL_PLUR","argentina",0,125125,0,16424906661.7393,301.822770395019,1958.45811774466,1656.63534734964,9914618.01658196,0,205.526587095556,112.534392622739,1172.50546798941,0.573419365774625,0,2037717603.3042,1115735516.58252,11624943837.4687,5685233.9749661,0,1640824470.40892,3678542073.71312,1285.61327997792,0,321996127.801049,3354905213.58942,1640732.32264688
"2","PFLO:ALL_PLUR","argentina",1,125125,0,398902745.413285,303.93812928006,1960.82935898947,1656.89122970941,240753.730999738,0,206.946878056716,98.6865468487219,1188.78461512837,0.546212139358319,0,49823233.0109021,23759154.3533102,286204331.447242,131502.610467864,0,38984523.9913621,88807757.0022642,1288.01737411645,0,6804357.6492482,81965738.4674421,37660.8855739199
"3","PFLO:ALL_PLUR","argentina",10,125125,0,-47945501028.2993,275.16686588623,1785.59608686209,1510.42922097586,-31742964.4252531,0,159.805428134942,20.22887213861,1172.81864553119,0.443224795653951,0,-5072698020.2498,-642124368.65889,-37228740542.37,-14069268.9208334,0,-4987868828.09975,-10060566848.3496,1193.49074246545,0,-170519898.626773,-9886310772.70283,-3736177.01995013
"4","PFLO:ALL_PLUR","argentina",11,125125,0,-11119108900.3654,327.702061710103,2177.35061787091,1849.64855616081,-6011471.13235642,0,195.605931573588,273.285856985719,1191.06520592253,2.47720146511435,0,-1175879410.97231,-1642850040.15093,-7160054102.15744,-14891625.0965659,77776099.0604646,-1125433721.98818,-2379089232.02096,1466.82826437336,0,-443249871.447017,-1931821519.17128,-4017841.40266606
"5","PFLO:ALL_PLUR","argentina",12,125125,0,-8321471194.46931,322.757594913461,2197.05744156479,1874.29984665133,-4439775.84981222,0,192.710519453396,283.557327476522,1207.7475683104,4.60069927860691,0,-855591510.273956,-1258930974.56756,-5362128486.45395,-20426073.5494075,171939941.427086,-824394149.624443,-1851925601.32548,1495.90559506553,0,-351042924.051769,-1495187028.56022,-5695648.7134996
"6","PFLO:ALL_PLUR","argentina",13,125125,0,-2677745034.01327,317.274544160216,2213.99652771744,1896.72198355723,-1411775.18752182,0,189.644102067524,293.641675527794,1222.86168295093,6.80867960738435,0,-267734837.758787,-414556031.532474,-1726405781.7613,-9612324.92949106,282950423.289752,-259436058.031217,-810121319.079755,1523.31203808611,0,-156163265.022343,-650337091.072274,-3620962.98513847
"7","PFLO:ALL_PLUR","argentina",14,125125,0,238930311.075456,311.281558523991,2228.15893032968,1916.87737180569,124645.590056909,0,186.421154451531,303.484696313267,1236.40286229352,9.09614825823868,0,23236574.7957012,37828029.0452089,154112164.318627,1133794.76689328,411020580.572515,22619748.1490265,-365164257.627788,1548.98370686503,0,-71544822.1562768,-291475069.322744,-2144366.14876638
"8","PFLO:ALL_PLUR","argentina",15,125125,0,2371668519.46682,304.814694139069,2239.58917665792,1934.77448251885,1225811.34953733,0,183.060101753338,313.069844419928,1248.36591810553,11.458156654262,0,224397150.3767,383764568.487833,1530261110.78934,14045538.471571,556338426.966928,219200151.341373,-112741125.248856,1572.89391917972,0,-22440068.0242912,-89479765.0453991,-821292.179165428
"9","PFLO:ALL_PLUR","argentina",16,125125,0,229696028.017167,298.331838788455,2251.52005837235,1953.18821958389,117600.55979966,0,179.968285558292,322.98603760173,1260.27386747765,13.908710840579,0,21164371.1278402,37983338.8294375,148208912.316254,1635672.18094369,719193658.018956,20703733.5626913,-677325553.328425,1597.16861591996,0,-136971572.353329,-534455589.801942,-5898391.1731536
"10","PFLO:ALL_PLUR","argentina",17,125125,0,2707989235.34949,291.432575608229,2260.8873033904,1969.45472778218,1374994.40690317,0,176.805041780399,332.741168161582,1270.53124981944,16.4295898786759,0,243105943.56033,457517245.168602,1746973362.29742,22590594.1908923,899647664.468769,237802090.132248,-418739630.776191,1619.7020078597,0,-86023177.8585833,-328468930.616458,-4247522.30114969
