strategy,strategy_code,comparison_code,include,strategy_specific_costs,entc_enfu_production_cost_factors.csv,entc_air_pollution_cost_factors.csv,trns_air_pollution_cost_factors.csv,trns_congestion_cost_factors.csv,trns_road_safety_cost_factors.csv,trns_passenger_transport_cost_factors.csv,trns_freight_transport_cost_factors.csv,inen_air_pollution_cost_factors.csv,ippu_avoided_production_cost_factors.csv,trww_treatment_cost_factors.csv,trww_treatment_water_pollution_cost_factors.csv,wali_sanitation_cost_factors.csv,waso_waste_management_cost_factors.csv,waso_waste_collection_cost_factors.csv,waso_waste_to_energy_cost_factors.csv,waso_pollution_cost_factors.csv,trww_waste_to_energy_cost_factors.csv,afolu_crop_livestock_production_cost_factors.csv,afolu_ecosystem_services_cost_factors.csv,soil_nitrogen_and_lime_cost_factors.csv
PFLO: All transformations with partial land use reallocation,PFLO:ALL_PLUR,BASE,1,0,1,1,1,1,1,1,1,1,1,1,1,cb_wali_sanitation_costs,1,1,1,1,1,1,1,1
TRNS: Mode shift regional passenger travel with renewable energy production,TRNS:MODE_SHIFT_REGIONAL_REP,ENTC:RENEWABLE_ELEC_TARGET,0,0,0,,,,,,,,,,,,,,,,,,,
TRNS: Mode shift regional passenger travel,TRNS:MODE_SHIFT_REGIONAL,BASE,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,
TRNS: Mode shift passenger vehicles to others with renewable energy production,TRNS:MODE_SHIFT_PASSENGER_REP,ENTC:RENEWABLE_ELEC_TARGET,0,0,0,,,,,,,,,,,,,,,,,,,
TRNS: Mode shift passenger vehicles to others,TRNS:MODE_SHIFT_PASSENGER,BASE,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,
TRNS: Mode shift freight with renewable energy production,TRNS:MODE_SHIFT_FREIGHT_REP,ENTC:RENEWABLE_ELEC_TARGET,0,0,0,,,,,,,,,,,,,,,,,,,
TRNS: Mode shift freight,TRNS:MODE_SHIFT_FREIGHT,BASE,1,0,1,1,1,1,1,,1,,,,,,,,,,,,,
TRNS: Increase occupancy for private vehicles with renewable energy production,TRNS:INC_OCCUPANCY_REP,ENTC:RENEWABLE_ELEC_TARGET,0,0,0,,,,,,,,,,,,,,,,,,,
TRNS: Increase occupancy for private vehicles,TRNS:INC_OCCUPANCY,BASE,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,
TRNS: Increase transportation non-electricity energy efficiency with renewable energy production,TRNS:INC_EFFICIENCY_NON_ELEC_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,0,,,,,,,,,,,,,,,,,,,
TRNS: Increase transportation non-electricity energy efficiency,TRNS:INC_EFFICIENCY_NON_ELEC,BASE,1,1,1,1,1,,,,,,,,,,,,,,,,,
TRNS: Increase transportation electricity energy efficiency with renewable energy production,TRNS:INC_EFFICIENCY_ELEC_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,0,,,,,,,,,,,,,,,,,,,
TRNS: Increase transportation electricity energy efficiency,TRNS:INC_EFFICIENCY_ELEC,BASE,1,1,1,1,1,,,,,,,,,,,,,,,,,
TRNS: Electrify rail with renewable energy production,TRNS:FUEL_SWITCH_RAIL_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,0,,,,,,,,,,,,,,,,,,,
TRNS: Electrify rail,TRNS:FUEL_SWITCH_RAIL,BASE,1,1,1,1,1,,,,,,,,,,,,,,,,,
