region,start_val,end_val
argentina,0.842728167,0.842728167
bahamas,0.125,0.8
barbados,0.125,0.8
belize,0.125,0.8
bolivia,0.507139381,0.8
brazil,0.393536686,0.8
chile,0.150650433,0.8
colombia,0.125,0.8
costa_rica,0.125,0.8
dominican_republic,0.125,0.8
ecuador,0.125,0.8
el_salvador,0.125,0.8
guatemala,0.125,0.8
guyana,0.125,0.8
haiti,0.125,0.8
honduras,0.125,0.8
jamaica,0.125,0.8
mexico,0.125,0.8
nicaragua,0.125,0.8
panama,0.125,0.8
paraguay,0.497929609,0.8
peru,0.125,0.8
suriname,0.125,0.8
trinidad_and_tobago,0.125,0.8
uruguay,0.709560939,0.8
venezuela,0.125,0.8
