Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1229,Cantaloupes and other melons,2019,2019,7021,Annual value,USD,2292.2,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1322,Lemons and limes,2019,2019,7021,Annual value,USD,2346.3,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1316,"Mangoes, guavas and mangosteens",2019,2019,7021,Annual value,USD,1705,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1318,Pineapples,2019,2019,7021,Annual value,USD,4262.6,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1229,Cantaloupes and other melons,2019,2019,7021,Annual value,USD,2326,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1341,Apples,2019,2019,7021,Annual value,USD,379,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1311,Avocados,2019,2019,7021,Annual value,USD,377.7,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1312,Bananas,2019,2019,7021,Annual value,USD,280,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1229,Cantaloupes and other melons,2019,2019,7021,Annual value,USD,249.7,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1315,Figs,2019,2019,7021,Annual value,USD,1003.9,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1330,Grapes,2019,2019,7021,Annual value,USD,573.2,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1322,Lemons and limes,2019,2019,7021,Annual value,USD,263.6,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1316,"Mangoes, guavas and mangosteens",2019,2019,7021,Annual value,USD,293.6,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1323,Oranges,2019,2019,7021,Annual value,USD,141.4,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1319,"Other tropical fruits, n.e.c.",2019,2019,7021,Annual value,USD,504.9,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1317,Papayas,2019,2019,7021,Annual value,USD,235,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1345,Peaches and nectarines,2019,2019,7021,Annual value,USD,531.6,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1342.01,Pears,2019,2019,7021,Annual value,USD,644.8,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1359.01,Persimmons,2019,2019,7021,Annual value,USD,441.6,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1318,Pineapples,2019,2019,7021,Annual value,USD,199.2,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1342.02,Quinces,2019,2019,7021,Annual value,USD,1178.1,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1324,"Tangerines, mandarins, clementines",2019,2019,7021,Annual value,USD,257.4,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1221,Watermelons,2019,2019,7021,Annual value,USD,171,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1341,Apples,2019,2019,7021,Annual value,USD,746.5,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1343,Apricots,2019,2019,7021,Annual value,USD,1209.5,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1311,Avocados,2019,2019,7021,Annual value,USD,2985.7,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1229,Cantaloupes and other melons,2019,2019,7021,Annual value,USD,1305.3,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1344.02,Cherries,2019,2019,7021,Annual value,USD,2120.7,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1355.02,Cranberries,2019,2019,7021,Annual value,USD,5784.5,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1315,Figs,2019,2019,7021,Annual value,USD,2154.8,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1330,Grapes,2019,2019,7021,Annual value,USD,1645.1,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1352,Kiwi fruit,2019,2019,7021,Annual value,USD,1186.5,A,Official figure
