Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,32,Argentina,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1201.6,A,Official figure
PP,Producer Prices,32,Argentina,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,907.8,A,Official figure
PP,Producer Prices,32,Argentina,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1166.8,A,Official figure
PP,Producer Prices,32,Argentina,5532,Producer Price (USD/tonne),21114b,"Meat of rabbits and hares, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2480.5,A,Official figure
PP,Producer Prices,32,Argentina,5532,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,603.4,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),21118.01b,"Horse meat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,798.8,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1157.5,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1083.7,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1342,A,Official figure
PP,Producer Prices,188,Costa Rica,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1527.4,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1297.9,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1164.9,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2959.4,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2256.7,A,Official figure
PP,Producer Prices,218,Ecuador,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1611.3,A,Official figure
PP,Producer Prices,218,Ecuador,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1688.8,A,Official figure
PP,Producer Prices,222,El Salvador,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2172.2,A,Official figure
PP,Producer Prices,222,El Salvador,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2728,A,Official figure
PP,Producer Prices,328,Guyana,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1688.2,A,Official figure
PP,Producer Prices,328,Guyana,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2110.3,A,Official figure
PP,Producer Prices,328,Guyana,5532,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,3693,A,Official figure
PP,Producer Prices,328,Guyana,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2004.8,A,Official figure
PP,Producer Prices,328,Guyana,5532,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,3693,A,Official figure
PP,Producer Prices,388,Jamaica,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,3300.5,A,Official figure
PP,Producer Prices,388,Jamaica,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1485.2,A,Official figure
PP,Producer Prices,388,Jamaica,5532,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,5775.9,A,Official figure
PP,Producer Prices,388,Jamaica,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2475.4,A,Official figure
PP,Producer Prices,388,Jamaica,5532,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,8251.3,A,Official figure
PP,Producer Prices,484,Mexico,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1851.7,A,Official figure
PP,Producer Prices,484,Mexico,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1188,A,Official figure
PP,Producer Prices,484,Mexico,5532,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1690,A,Official figure
PP,Producer Prices,484,Mexico,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1464.2,A,Official figure
PP,Producer Prices,484,Mexico,5532,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1904.6,A,Official figure
PP,Producer Prices,484,Mexico,5532,Producer Price (USD/tonne),21124b,"Meat of turkeys, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2019.4,A,Official figure
PP,Producer Prices,558,Nicaragua,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2396.8,A,Official figure
PP,Producer Prices,558,Nicaragua,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1226.1,A,Official figure
PP,Producer Prices,558,Nicaragua,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1611.9,A,Official figure
PP,Producer Prices,591,Panama,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,5016,A,Official figure
PP,Producer Prices,591,Panama,5532,Producer Price (USD/tonne),21122b,"Meat of ducks, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,4532,A,Official figure
PP,Producer Prices,604,Peru,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1703.8,A,Official figure
PP,Producer Prices,604,Peru,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1398.8,A,Official figure
PP,Producer Prices,604,Peru,5532,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1442.4,A,Official figure
PP,Producer Prices,604,Peru,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2080.8,A,Official figure
PP,Producer Prices,604,Peru,5532,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1672.8,A,Official figure
PP,Producer Prices,659,Saint Kitts and Nevis,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2449.6,A,Official figure
PP,Producer Prices,659,Saint Kitts and Nevis,5532,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,3674.4,A,Official figure
PP,Producer Prices,659,Saint Kitts and Nevis,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,4899.2,A,Official figure
PP,Producer Prices,659,Saint Kitts and Nevis,5532,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,3674.4,A,Official figure
PP,Producer Prices,662,Saint Lucia,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,4074.1,A,Official figure
PP,Producer Prices,662,Saint Lucia,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,1874.1,A,Official figure
PP,Producer Prices,662,Saint Lucia,5532,Producer Price (USD/tonne),21116b,"Meat of goat, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,8963,A,Official figure
PP,Producer Prices,662,Saint Lucia,5532,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,4074.1,A,Official figure
PP,Producer Prices,662,Saint Lucia,5532,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,8963,A,Official figure
PP,Producer Prices,740,Suriname,5532,Producer Price (USD/tonne),21111.01b,"Meat of cattle with the bone, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,7240.5,A,Official figure
PP,Producer Prices,740,Suriname,5532,Producer Price (USD/tonne),21121b,"Meat of chickens, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2266,A,Official figure
PP,Producer Prices,740,Suriname,5532,Producer Price (USD/tonne),21122b,"Meat of ducks, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,11704.2,A,Official figure
