Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,18.4,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,667.2,A,Official figure
PP,Producer Prices,218,Ecuador,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,30.5,A,Official figure
PP,Producer Prices,222,El Salvador,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,28.1,A,Official figure
PP,Producer Prices,308,Grenada,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,611.8,A,Official figure
PP,Producer Prices,388,Jamaica,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,28.5,A,Official figure
PP,Producer Prices,484,Mexico,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,40.5,A,Official figure
PP,Producer Prices,558,Nicaragua,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,23.5,A,Official figure
PP,Producer Prices,600,Paraguay,5532,Producer Price (USD/tonne),1802,Sugar cane,2019,2019,7021,Annual value,USD,30.4,A,Official figure
,,,,,,,,,,,,,30.4,,
