Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1212,Cabbages,2019,2019,7021,Annual value,USD,2403.5,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1251,Carrots and turnips,2019,2019,7021,Annual value,USD,1893.2,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,2019,7021,Annual value,USD,4331.6,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2019,2019,7021,Annual value,USD,1994.2,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1233,Eggplants (aubergines),2019,2019,7021,Annual value,USD,2128.8,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,2019,7021,Annual value,USD,2289.1,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1241.9,"Other beans, green",2019,2019,7021,Annual value,USD,4060.7,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1235,"Pumpkins, squash and gourds",2019,2019,7021,Annual value,USD,2380.4,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1234,Tomatoes,2019,2019,7021,Annual value,USD,2129,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1212,Cabbages,2019,2019,7021,Annual value,USD,2620.7,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1251,Carrots and turnips,2019,2019,7021,Annual value,USD,3289.2,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,2019,7021,Annual value,USD,3866.4,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2019,2019,7021,Annual value,USD,1460,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1214,Lettuce and chicory,2019,2019,7021,Annual value,USD,1870.2,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1239.01,Okra,2019,2019,7021,Annual value,USD,2530,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1235,"Pumpkins, squash and gourds",2019,2019,7021,Annual value,USD,1475.8,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1241.01,String beans,2019,2019,7021,Annual value,USD,4365.6,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1234,Tomatoes,2019,2019,7021,Annual value,USD,2590.4,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1252,Green garlic,2019,2019,7021,Annual value,USD,2419.6,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,2019,7021,Annual value,USD,362.3,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1234,Tomatoes,2019,2019,7021,Annual value,USD,366.4,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1216,Artichokes,2019,2019,7021,Annual value,USD,1959.8,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1211,Asparagus,2019,2019,7021,Annual value,USD,2568,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1243,"Broad beans and horse beans, green",2019,2019,7021,Annual value,USD,595,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1212,Cabbages,2019,2019,7021,Annual value,USD,1329,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1251,Carrots and turnips,2019,2019,7021,Annual value,USD,423.4,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1213,Cauliflowers and broccoli,2019,2019,7021,Annual value,USD,1237.4,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,2019,7021,Annual value,USD,1349.7,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2019,2019,7021,Annual value,USD,584.6,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1252,Green garlic,2019,2019,7021,Annual value,USD,1931,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1214,Lettuce and chicory,2019,2019,7021,Annual value,USD,835.4,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,2019,7021,Annual value,USD,434.2,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1241.9,"Other beans, green",2019,2019,7021,Annual value,USD,1393.3,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1242,"Peas, green",2019,2019,7021,Annual value,USD,1082.8,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1235,"Pumpkins, squash and gourds",2019,2019,7021,Annual value,USD,513.5,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1215,Spinach,2019,2019,7021,Annual value,USD,898.7,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1234,Tomatoes,2019,2019,7021,Annual value,USD,675.2,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1243,"Broad beans and horse beans, green",2019,2019,7021,Annual value,USD,685.5,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1212,Cabbages,2019,2019,7021,Annual value,USD,502.4,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1251,Carrots and turnips,2019,2019,7021,Annual value,USD,423,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1213,Cauliflowers and broccoli,2019,2019,7021,Annual value,USD,909.3,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1232,Cucumbers and gherkins,2019,2019,7021,Annual value,USD,522.3,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1233,Eggplants (aubergines),2019,2019,7021,Annual value,USD,545.5,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1252,Green garlic,2019,2019,7021,Annual value,USD,2046.1,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1214,Lettuce and chicory,2019,2019,7021,Annual value,USD,340.1,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,2019,7021,Annual value,USD,373.4,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1241.9,"Other beans, green",2019,2019,7021,Annual value,USD,924.5,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1242,"Peas, green",2019,2019,7021,Annual value,USD,1182.4,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1235,"Pumpkins, squash and gourds",2019,2019,7021,Annual value,USD,144.6,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1215,Spinach,2019,2019,7021,Annual value,USD,362.9,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1234,Tomatoes,2019,2019,7021,Annual value,USD,587.5,A,Official figure
PP,Producer Prices,188,Costa Rica,5532,Producer Price (USD/tonne),1251,Carrots and turnips,2019,2019,7021,Annual value,USD,347.8,A,Official figure
