Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,1538.3,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1530,Sweet potatoes,2019,2019,7021,Annual value,USD,1967.1,A,Official figure
PP,Producer Prices,28,Antigua and Barbuda,5532,Producer Price (USD/tonne),1540,Yams,2019,2019,7021,Annual value,USD,2592.7,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,2418.7,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1530,Sweet potatoes,2019,2019,7021,Annual value,USD,2329.7,A,Official figure
PP,Producer Prices,52,Barbados,5532,Producer Price (USD/tonne),1540,Yams,2019,2019,7021,Annual value,USD,3752.7,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,127.6,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1510,Potatoes,2019,2019,7021,Annual value,USD,372.5,A,Official figure
PP,Producer Prices,76,Brazil,5532,Producer Price (USD/tonne),1530,Sweet potatoes,2019,2019,7021,Annual value,USD,278.9,A,Official figure
PP,Producer Prices,152,Chile,5532,Producer Price (USD/tonne),1510,Potatoes,2019,2019,7021,Annual value,USD,370.6,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,618.7,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1510,Potatoes,2019,2019,7021,Annual value,USD,341.9,A,Official figure
PP,Producer Prices,170,Colombia,5532,Producer Price (USD/tonne),1540,Yams,2019,2019,7021,Annual value,USD,314.2,A,Official figure
PP,Producer Prices,188,Costa Rica,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,377.8,A,Official figure
PP,Producer Prices,188,Costa Rica,5532,Producer Price (USD/tonne),1510,Potatoes,2019,2019,7021,Annual value,USD,869.1,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,376.5,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2019,2019,7021,Annual value,USD,1218.9,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),1510,Potatoes,2019,2019,7021,Annual value,USD,451.8,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),1530,Sweet potatoes,2019,2019,7021,Annual value,USD,346.9,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),1540,Yams,2019,2019,7021,Annual value,USD,688.8,A,Official figure
PP,Producer Prices,214,Dominican Republic,5532,Producer Price (USD/tonne),1591,Yautia,2019,2019,7021,Annual value,USD,1315,A,Official figure
PP,Producer Prices,218,Ecuador,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,175.3,A,Official figure
PP,Producer Prices,218,Ecuador,5532,Producer Price (USD/tonne),1510,Potatoes,2019,2019,7021,Annual value,USD,370.5,A,Official figure
PP,Producer Prices,222,El Salvador,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,315.3,A,Official figure
PP,Producer Prices,308,Grenada,5532,Producer Price (USD/tonne),1520.01,"Cassava, fresh",2019,2019,7021,Annual value,USD,815.8,A,Official figure
PP,Producer Prices,308,Grenada,5532,Producer Price (USD/tonne),1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2019,2019,7021,Annual value,USD,1736.4,A,Official figure
