population_gnrl_urban,population_gnrl_rural,time_period,Nation
38471261.51,3573833.037,0,argentina
38793803.69,3556178.993,1,argentina
39116345.86,3538524.948,2,argentina
39438888.04,3520870.904,3,argentina
39761430.21,3503216.86,4,argentina
40083972.38,3485562.816,5,argentina
40386364.08,3457040.991,6,argentina
40688755.79,3428519.166,7,argentina
40991147.49,3399997.341,8,argentina
41293539.19,3371475.517,9,argentina
41595930.89,3342953.692,10,argentina
41872920.24,3309255.288,11,argentina
42149909.6,3275556.884,12,argentina
42426898.96,3241858.48,13,argentina
42703888.31,3208160.076,14,argentina
42980877.67,3174461.672,15,argentina
43231907.75,3136098.59,16,argentina
43482937.83,3097735.508,17,argentina
43733967.91,3059372.426,18,argentina
43984998,3021009.344,19,argentina
44236028.08,2982646.262,20,argentina
44462965.36,2940279.474,21,argentina
44689902.63,2897912.685,22,argentina
44916839.91,2855545.897,23,argentina
45143777.19,2813179.108,24,argentina
45370714.47,2770812.32,25,argentina
45559917.51,2724193.275,26,argentina
45749120.56,2677574.231,27,argentina
45938323.6,2630955.186,28,argentina
46127526.65,2584336.142,29,argentina
46316729.69,2537717.097,30,argentina
46471226.04,2487733.999,31,argentina
46625722.39,2437750.9,32,argentina
46780218.74,2387767.802,33,argentina
46934715.09,2337784.703,34,argentina
47089211.45,2287801.605,35,argentina
302666.6822,63093.65882,0,bahamas
306427.1799,63643.54369,1,bahamas
310187.6776,64193.42857,2,bahamas
313948.1754,64743.31344,3,bahamas
317708.6731,65293.19831,4,bahamas
321469.1708,65843.08318,5,bahamas
325036.8465,66290.22306,6,bahamas
328604.5223,66737.36294,7,bahamas
332172.198,67184.50283,8,bahamas
335739.8737,67631.64271,9,bahamas
339307.5494,68078.78259,10,bahamas
342622.5075,68448.51128,11,bahamas
345937.4656,68818.23996,12,bahamas
349252.4238,69187.96865,13,bahamas
352567.3819,69557.69733,14,bahamas
355882.34,69927.42602,15,bahamas
358881.327,70210.98701,16,bahamas
361880.314,70494.548,17,bahamas
364879.301,70778.10899,18,bahamas
367878.288,71061.66998,19,bahamas
370877.275,71345.23097,20,bahamas
373524.5413,71540.03487,21,bahamas
376171.8076,71734.83876,22,bahamas
378819.0739,71929.64266,23,bahamas
381466.3402,72124.44656,24,bahamas
384113.6065,72319.25045,25,bahamas
386384.4402,72425.26576,26,bahamas
388655.2739,72531.28106,27,bahamas
390926.1076,72637.29637,28,bahamas
393196.9413,72743.31167,29,bahamas
395467.775,72849.32698,30,bahamas
397446.1648,72886.44456,31,bahamas
399424.5547,72923.56214,32,bahamas
401402.9445,72960.67972,33,bahamas
403381.3343,72997.79731,34,bahamas
405359.7241,73034.91489,35,bahamas
154283.9648,185473.7202,0,belize
156988.8122,187777.4236,1,belize
159693.6596,190081.127,2,belize
162398.5071,192384.8303,3,belize
165103.3545,194688.5337,4,belize
167808.2019,196992.2371,5,belize
170048.1204,198904.5988,6,belize
172288.0389,200816.9605,7,belize
174527.9573,202729.3223,8,belize
176767.8758,204641.684,9,belize
179007.7943,206554.0457,10,belize
180992.076,208100.6412,11,belize
182976.3577,209647.2367,12,belize
184960.6394,211193.8322,13,belize
186944.9211,212740.4277,14,belize
188929.2028,214287.0232,15,belize
190683.6989,215513.5399,16,belize
192438.195,216740.0566,17,belize
194192.6911,217966.5733,18,belize
195947.1872,219193.09,19,belize
197701.6833,220419.6067,20,belize
199241.4347,221357.3189,21,belize
200781.1861,222295.0311,22,belize
202320.9375,223232.7433,23,belize
203860.6889,224170.4555,24,belize
205400.4403,225108.1677,25,belize
206710.6964,225754.6084,26,belize
208020.9526,226401.049,27,belize
209331.2087,227047.4897,28,belize
210641.4648,227693.9304,29,belize
211951.721,228340.371,30,belize
213030.0303,228706.7049,31,belize
214108.3397,229073.0387,32,belize
215186.6491,229439.3725,33,belize
216264.9585,229805.7063,34,belize
217343.2679,230172.0401,35,belize
7281369.896,3365464.284,0,bolivia
7412665.997,3372758.605,1,bolivia
7543962.099,3380052.925,2,bolivia
7675258.2,3387347.246,3,bolivia
7806554.302,3394641.566,4,bolivia
7937850.403,3401935.887,5,bolivia
8072215.022,3399894.704,6,bolivia
8206579.642,3397853.52,7,bolivia
8340944.261,3395812.337,8,bolivia
8475308.881,3393771.153,9,bolivia
8609673.5,3391729.97,10,bolivia
