"time_period","pij_lndu_forests_primary_to_croplands","pij_lndu_forests_primary_to_forests_mangroves","pij_lndu_forests_primary_to_forests_primary","pij_lndu_forests_primary_to_forests_secondary","pij_lndu_forests_primary_to_grasslands","pij_lndu_forests_primary_to_other","pij_lndu_forests_primary_to_settlements","pij_lndu_forests_primary_to_wetlands","pij_lndu_forests_secondary_to_croplands","pij_lndu_forests_secondary_to_forests_mangroves","pij_lndu_forests_secondary_to_forests_primary","pij_lndu_forests_secondary_to_forests_secondary","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_other","pij_lndu_forests_secondary_to_settlements","pij_lndu_forests_secondary_to_wetlands","TransformationName","Nation"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"none","argentina"
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"full","argentina"
