"time_period","pij_lndu_croplands_to_croplands","pij_lndu_croplands_to_forests_secondary","TransformationName","pij_lndu_forests_secondary_to_croplands","pij_lndu_forests_secondary_to_forests_mangroves","pij_lndu_forests_secondary_to_forests_primary","pij_lndu_forests_secondary_to_forests_secondary","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_other","pij_lndu_forests_secondary_to_settlements","pij_lndu_forests_secondary_to_wetlands","pij_lndu_croplands_to_grasslands","Nation"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"argentina"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"argentina"
