"time_period","scalar_lvst_carrying_capacity","TransformationName","pij_lndu_grasslands_to_croplands","pij_lndu_grasslands_to_forests_mangroves","pij_lndu_grasslands_to_forests_primary","pij_lndu_grasslands_to_forests_secondary","pij_lndu_grasslands_to_grasslands","pij_lndu_grasslands_to_other","pij_lndu_grasslands_to_settlements","pij_lndu_grasslands_to_wetlands","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_croplands","Nation"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"argentina"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"argentina"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"argentina"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"argentina"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"argentina"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"argentina"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"argentina"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"argentina"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"argentina"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"argentina"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"argentina"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"argentina"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"argentina"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"argentina"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"argentina"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"argentina"
