strategy_id,strategy,strategy_code,baseline_strategy_id
0,Baseline NDP,BASE,1
1001,AFOLU Specific Strategies Start,AF:PLACEHOLD,0
2001,Circular Economy Specific Strategies Start,CE:PLACEHOLDER,0
3001,CCSQ: Increase direct air capture,CCSQ:INCREASE_CAPTURE,0
3002,CCSQ: Increase direct air capture with renewable energy production,CCSQ:INCREASE_CAPTURE_REP,0
3003,ENTC: 95% of electricity is generated by renewables in 2050,ENTC:RENEWABLE_ELEC_TARGET,0
3004,ENTC: Least cost solution,ENTC:LEAST_COST,0
3005,ENTC: Reduce transmission losses,ENTC:REDUCE_LOSSES,0
3006,ENTC: Reduce transmission losses with renewable energy production,ENTC:REDUCE_LOSSES_REP,0
3007,FGTV: All Fugitive Emissions transformations,FGTV:ALL,0
3008,FGTV: All Fugitive Emissions transformations with renewable energy production,FGTV:ALL_REP,0
3009,FGTV: Maximize flaring,FGTV:INC_FLARE,0
3010,FGTV: Maximize flaring with renewable energy production,FGTV:INC_FLARE_REP,0
3011,FGTV: Minimize leaks,FGTV:DEC_LEAKS,0
3012,FGTV: Minimize leaks with renewable energy production,FGTV:DEC_LEAKS_REP,0
3013,INEN: All Industrial Energy transformations,INEN:ALL,0
3014,INEN: All Industrial Energy transformations with renewable energy production,INEN:ALL_REP,0
3015,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,INEN:FUEL_SWITCH_LO_HEAT,0
3016,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,INEN:FUEL_SWITCH_LO_HEAT_REP,0
3017,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,INEN:FUEL_SWITCH_HI_HEAT,0
3018,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,INEN:FUEL_SWITCH_HI_HEAT_REP,0
3019,INEN: Maximize industrial energy efficiency,INEN:INC_EFFICIENCY_ENERGY,0
3020,INEN: Maximize industrial energy efficiency with renewable energy production,INEN:INC_EFFICIENCY_ENERGY_REP,0
3021,INEN: Maximize industrial production efficiency,INEN:INC_EFFICIENCY_PRODUCTION,0
3022,INEN: Maximize industrial production efficiency with renewable energy production,INEN:INC_EFFICIENCY_PRODUCTION_REP,0
3023,SCOE: All Stationary Combustion and Other Energy transformations,SCOE:ALL,0
3024,SCOE: All Stationary Combustion and Other Energy transformations with renewable energy production,SCOE:ALL_REP,0
3025,SCOE: Increase appliance efficiency,SCOE:INC_EFFICIENCY_APPLIANCE,0
3026,SCOE: Increase appliance efficiency with renewable energy production,SCOE:INC_EFFICIENCY_APPLIANCE_REP,0
3027,SCOE: Reduce end-use demand for heat energy by improving building shell,SOCE:DEC_DEMAND_HEAT,0
3028,SCOE: Reduce end-use demand for heat energy by improving building shell with renewable energy production,SOCE:DEC_DEMAND_HEAT_REP,0
3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",SCOE:FUEL_SWITCH_HEAT,0
3030,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production",SCOE:FUEL_SWITCH_HEAT_REP,0
3031,TRNS: All Transportation transformations,TRNS:ALL,0
3032,TRNS: All Transportation transformations with renewable energy production,TRNS:ALL_REP,0
3033,TRNS: Demand management bundle,TRNS:BUNDLE_DEMAND_MANAGEMENT,0
3034,TRNS: Demand management bundle with renewable energy production,TRNS:BUNDLE_DEMAND_MANAGEMENT_REP,0
3035,TRNS: Efficiency bundle,TRNS_BUNDLE_EFFICIENCY,0
3036,TRNS: Efficiency bundle with renewable energy production,TRNS_BUNDLE_EFFICIENCY_REP,0
3037,TRNS: Electrify light duty road transport,TRNS:FUEL_SWITCH_LIGHT_DUTY,0
3038,TRNS: Electrify light duty road transport with renewable energy production,TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,0
3039,TRNS: Electrify rail,TRNS:FUEL_SWITCH_RAIL,0
3040,TRNS: Electrify rail with renewable energy production,TRNS:FUEL_SWITCH_RAIL_REP,0
3041,TRNS: Fuel switch bundle,TRNS:BUNDLE_FUEL_SWITCH,0
3042,TRNS: Fuel switch bundle with renewable energy production,TRNS:BUNDLE_FUEL_SWITCH_REP,0
3043,TRNS: Fuel switch maritime,TRNS:FUEL_SWITCH_MARITIME,0
3044,TRNS: Fuel switch maritime with renewable energy production,TRNS:FUEL_SWITCH_MARITIME_REP,0
3045,TRNS: Fuel switch medium duty road transport,TRNS:FUEL_SWITCH_MEDIUM_DUTY,0
3046,TRNS: Fuel switch medium duty road transport with renewable energy production,TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,0
3047,TRNS: Increase occupancy for private vehicles,TRNS:INC_OCCUPANCY,0
3048,TRNS: Increase occupancy for private vehicles with renewable energy production,TRNS:INC_OCCUPANCY_REP,0
3049,TRNS: Increase transportation electricity energy efficiency,TRNS:INC_EFFICIENCY_ELEC,0
3050,TRNS: Increase transportation electricity energy efficiency with renewable energy production,TRNS:INC_EFFICIENCY_ELEC_REP,0
3051,TRNS: Increase transportation non-electricity energy efficiency,TRNS:INC_EFFICIENCY_NON_ELEC,0
3052,TRNS: Increase transportation non-electricity energy efficiency with renewable energy production,TRNS:INC_EFFICIENCY_NON_ELEC_REP,0
3053,TRNS: Mode shift bundle,TRNS:BUNDLE_MODE_SHIFT,0
3054,TRNS: Mode shift bundle with renewable energy production,TRNS:BUNDLE_MODE_SHIFT_REP,0
3055,TRNS: Mode shift freight,TRNS:MODE_SHIFT_FREIGHT,0
3056,TRNS: Mode shift freight with renewable energy production,TRNS:MODE_SHIFT_FREIGHT_REP,0
3057,TRNS: Mode shift passenger vehicles to others,TRNS:MODE_SHIFT_PASSENGER,0
3058,TRNS: Mode shift passenger vehicles to others with renewable energy production,TRNS:MODE_SHIFT_PASSENGER_REP,0
3059,TRNS: Mode shift regional passenger travel,TRNS:MODE_SHIFT_REGIONAL,0
3060,TRNS: Mode shift regional passenger travel with renewable energy production,TRNS:MODE_SHIFT_REGIONAL_REP,0
3061,TRNS: Reduce demand for transport,TRNS:DEC_DEMAND,0
3062,TRNS: Reduce demand for transport with renewable energy production,TRNS:DEC_DEMAND_REP,0
3063,EN: Efficiency bundle,EN:BUNDLE_EFFICIENCY,0
3064,EN: Efficiency bundle with renewable energy production,EN:BUNDLE_EFFICIENCY_REP,0
3065,EN: Fuel switch bundle,EN:BUNDLE_FUEL_SWITCH,0
3066,EN: Fuel switch bundle with renewable energy production,EN:BUNDLE_FUEL_SWITCH_REP,0
3067,EN: All Energy transformations,EN:ALL,0
4001,IPPU Specific Strategies,IP:PLACEHOLDER,0
5001,Cross Sectoral Strategies Start,PTFL:PLACEHOLDER,0
