strategy_code,strategy,baseline_strategy_id,include,summarize_energy_costs,summarize_air_pollution_costs,summarize_ghg_effects,test_id,comparison_id,difference_variable,multiplier,multiplier.unit,annual.change,output_variable_name,output_display_name,sum,country_specific_multiplier,scale_impact,scaling,natural.multiplier.units,display_notes,internal_notes
TRNS:ALL,TRNS: All Transportation transformations,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:ALL_REP,TRNS: All Transportation transformations with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:BUNDLE_DEMAND_MANAGEMENT,TRNS: Demand management bundle,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:BUNDLE_DEMAND_MANAGEMENT_REP,TRNS: Demand management bundle with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS_BUNDLE_EFFICIENCY,TRNS: Efficiency bundle,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS_BUNDLE_EFFICIENCY_REP,TRNS: Efficiency bundle with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:FUEL_SWITCH_LIGHT_DUTY,TRNS: Electrify light duty road transport,0,1,1,1,0,TRNS:FUEL_SWITCH_LIGHT_DUTY,BASE,vehicle_distance_traveled_trns_road_light_electricity,0.039,$/vkm,0.9,technical_cost_electrification_LDV,EV + Charger Cost,0,0,0,0,$0.039/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY,TRNS: Electrify light duty road transport,0,1,0,0,0,TRNS:FUEL_SWITCH_LIGHT_DUTY,BASE,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,savings_maintenance_electrify_LDV,EV Maintenance,0,0,0,0,$0.012/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,TRNS: Electrify light duty road transport with renewable energy production,0,0,0,0,0,,,,,,,,,,,,,,,
TRNS:FUEL_SWITCH_RAIL,TRNS: Electrify rail,0,1,1,1,0,TRNS:FUEL_SWITCH_RAIL,BASE,energy_consumption_trns_electricity,422400000,$/PJ,1,technical_cost_electrification_rail,Electric Rail Capital Cost,0,0,0,0,$0.0025/mt-km and /pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
