strategy_id,primary_id,design_id,future_id,strategy,baseline_strategy_id,include,summarize_energy_costs,summarize_air_pollution_costs,summarize_ghg_effects,test_id,comparison_id,difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,country_specific_multiplier,scale_impact,scaling,natural multiplier units,display_notes,internal_notes
3037,41041,0,0,TRNS: Electrify light duty road transport,0,1,1,1,0,3037,0,vehicle_distance_traveled_trns_road_light_electricity,0.039,$/vkm,0.9,technical_cost_electrification_LDV,EV + Charger Cost,0,0,0,0,$0.039/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
3037,41041,0,0,TRNS: Electrify light duty road transport,0,1,1,1,0,3037,0,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,savings_maintenance_electrify_LDV,EV Maintenance,0,0,0,0,$0.012/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",
3039,43043,0,0,TRNS: Electrify rail,0,1,1,1,0,3039,0,energy_consumption_trns_electricity,422400000,$/PJ,1,technical_cost_electrification_rail,Electric Rail Capital Cost,0,0,0,0,$0.0025/mt-km and /pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
3039,43043,0,0,TRNS: Electrify rail,0,1,1,1,0,3039,0,energy_consumption_trns_electricity,2377710,$/PJ,1,savings_maintenance_electrify_rail,Electric Rail Maintenance,0,0,0,0,$0.0003/mt-km and $/pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",
3043,47047,0,0,TRNS: Fuel switch maritime,0,1,1,1,0,3043,0,,,,,,,,,,,,,
3045,49049,0,0,TRNS: Fuel switch medium duty road transport,0,1,1,1,0,3045,0,vehicle_distance_traveled_trns_*_electricity,0.042,$/mtkm,0.9,technical_cost_electrification_HDV_vehicle,EV Vehicle Cost,0,0,0,0,$0.042/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
3045,49049,0,0,TRNS: Fuel switch medium duty road transport,0,1,1,1,0,3045,0,vehicle_distance_traveled_trns_*_electricity,0.02,$/mtkm,0.9,savings_maintenance_electrify_HDV,EV Maintenance,0,0,0,0,$0.02/km,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
3045,49049,0,0,TRNS: Fuel switch medium duty road transport,0,1,1,1,0,3045,0,energy_consumption_trns_*_electricity,3177614,$/PJ,1,technical_cost_electrification_HDV_charger,EV Charger Cost,0,0,0,0,$0.011/kwh,"Burke et al. (2022) provide marginal capital and maintenance costs of a variety of medium and heavy duty BEVs versus ICEs (Table 19a, p. 50), and the cost of charging infrastructure (p.22). Using a stated 12-year lifetime, we calculate a simple average of these costs across all vehicle types. Costs are then adjusted to 2019 costs for LAC.",
3047,51051,0,0,TRNS: Increase occupancy for private vehicles,0,1,1,1,0,3047,0,,,,,,,,,,,,,
3049,53053,0,0,TRNS: Increase transportation electricity energy efficiency,0,1,1,1,0,3049,0,,,,,,,,,,,,,
3051,55055,0,0,TRNS: Increase transportation non-electricity energy efficiency,0,1,1,1,0,3051,0,,,,,,,,,,,,,
3055,59059,0,0,TRNS: Mode shift freight,0,1,1,1,0,3055,0,,,,,,,,,,,,,
