"","region","time_period","strategy_id","difference_variable","difference_value","variable","value","future_id"
"1","brazil",0,3023,"change_in_emissions:3025",5.6843418860808e-14,"cost",0,1
"2","brazil",0,3023,"change_in_emissions:3025",8.30105129199764e-14,"cost",0,4
"3","brazil",0,3023,"change_in_emissions:3025",1.09165652475607e-13,"cost",0,3
"4","brazil",0,3023,"change_in_emissions:3025",-1.57840361234447e-13,"cost",0,2
"5","brazil",0,3023,"change_in_emissions:3025",-1.07026820108611e-13,"cost",0,5
"6","brazil",0,3023,"change_in_emissions:3025",5.70401230702806e-12,"cost",0,8
"7","brazil",0,3023,"change_in_emissions:3025",-7.44947385627389e-13,"cost",0,7
"8","brazil",0,3023,"change_in_emissions:3025",6.22741579774611e-14,"cost",0,6
"9","brazil",0,3023,"change_in_emissions:3025",1.75210127865373e-13,"cost",0,9
"10","brazil",0,3023,"change_in_emissions:3025",-6.9509333500332e-14,"cost",0,11
"11","brazil",0,3023,"change_in_emissions:3025",-7.31471225312481e-14,"cost",0,10
"12","brazil",0,3023,"change_in_emissions:3027",-3.15680722468895e-13,"cost",0,2
"13","brazil",0,3023,"change_in_emissions:3027",-2.14053640217223e-13,"cost",0,5
"14","brazil",0,3023,"change_in_emissions:3027",1.66021025839953e-13,"cost",0,4
"15","brazil",0,3023,"change_in_emissions:3027",2.18331304951215e-13,"cost",0,3
"16","brazil",0,3023,"change_in_emissions:3027",1.24548315954922e-13,"cost",0,6
"17","brazil",0,3023,"change_in_emissions:3027",3.50420255730746e-13,"cost",0,9
"18","brazil",0,3023,"change_in_emissions:3027",1.14080246140561e-11,"cost",0,8
"19","brazil",0,3023,"change_in_emissions:3027",-1.48989477125478e-12,"cost",0,7
"20","brazil",0,3023,"change_in_emissions:3027",-1.46294245062496e-13,"cost",0,10
"21","brazil",0,3023,"change_in_emissions:3027",-1.39018667000664e-13,"cost",0,11
"22","brazil",0,3023,"change_in_emissions:3029",-2.43665892793191e-13,"cost",0,6
"23","brazil",0,3023,"change_in_emissions:3029",2.64237041465026e-13,"cost",0,5
"24","brazil",0,3023,"change_in_emissions:3029",-3.05874957620737e-13,"cost",0,4
"25","brazil",0,3023,"change_in_emissions:3029",2.17799873802136e-12,"cost",0,7
"26","brazil",0,3023,"change_in_emissions:3029",1.62597948732936e-13,"cost",0,10
"27","brazil",0,3023,"change_in_emissions:3029",-5.82473802456927e-13,"cost",0,9
"28","brazil",0,3023,"change_in_emissions:3029",-1.7168880339945e-11,"cost",0,8
"29","brazil",0,3023,"change_in_emissions:3029",1.51684581640188e-13,"cost",0,11
"30","brazil",0,3023,"change_in_emissions:3029",-3.8434037628763e-13,"cost",0,3
"31","brazil",0,3023,"change_in_emissions:3029",4.16677664842534e-13,"cost",0,2
"32","brazil",0,3023,"change_in_emissions:3029",-2.27373675443232e-13,"cost",0,1
"33","brazil",0,3023,"change_in_emissions:3027",1.13686837721616e-13,"cost",0,1
"34","brazil",1,3023,"change_in_emissions:3027",-5.48074217888246e-14,"cost",0,10
"35","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,11
"36","brazil",1,3023,"change_in_emissions:3027",-5.13655588788375e-14,"cost",0,2
"37","brazil",1,3023,"change_in_emissions:3027",-5.27232202735463e-14,"cost",0,5
"38","brazil",1,3023,"change_in_emissions:3027",-4.43813344397304e-14,"cost",0,4
"39","brazil",1,3023,"change_in_emissions:3027",-4.92599005240162e-14,"cost",0,7
"40","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,2
"41","brazil",1,3023,"change_in_emissions:3027",-5.51679774534623e-14,"cost",0,11
"42","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,10
"43","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,6
"44","brazil",1,3023,"change_in_emissions:3027",-4.2632564145606e-14,"cost",0,1
"45","brazil",1,3023,"change_in_emissions:3029",-3.99156057199421e-14,"cost",0,3
"46","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,9
"47","brazil",1,3023,"change_in_emissions:3027",-4.53495225712699e-14,"cost",0,3
"48","brazil",1,3023,"change_in_emissions:3027",-4.31024179233223e-14,"cost",0,6
"49","brazil",1,3023,"change_in_emissions:3027",-4.65647857842265e-14,"cost",0,9
"50","brazil",1,3023,"change_in_emissions:3029",-4.21627103678897e-14,"cost",0,6
"51","brazil",1,3023,"change_in_emissions:3027",-4.86536649069837e-14,"cost",0,8
"52","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,3
"53","brazil",1,3023,"change_in_emissions:3029",-3.00971508377497e-14,"cost",0,11
"54","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,5
"55","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,8
"56","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,7
"57","brazil",1,3023,"change_in_emissions:3029",-4.2632564145606e-14,"cost",0,1
"58","brazil",1,3023,"change_in_emissions:3029",-4.08837938514817e-14,"cost",0,4
"59","brazil",1,3023,"change_in_emissions:3029",-3.60052277671959e-14,"cost",0,7
"60","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,4
"61","brazil",1,3023,"change_in_emissions:3029",-3.25419080176657e-14,"cost",0,5
"62","brazil",1,3023,"change_in_emissions:3029",-3.66114633842284e-14,"cost",0,8
"63","brazil",1,3023,"change_in_emissions:3025",0,"cost",0,1
"64","brazil",1,3023,"change_in_emissions:3029",-3.87003425069855e-14,"cost",0,9
"65","brazil",1,3023,"change_in_emissions:3029",-3.38995694123745e-14,"cost",0,2
"66","brazil",1,3023,"change_in_emissions:3029",-3.04577065023875e-14,"cost",0,10
"67","brazil",10,3023,"change_in_emissions:3027",-6.10492549092213e-15,"cost",0,9
"68","brazil",10,3023,"change_in_emissions:3027",-6.66791715220486e-15,"cost",0,8
"69","brazil",10,3023,"change_in_emissions:3027",-8.80536018850557e-15,"cost",0,11
"70","brazil",10,3023,"change_in_emissions:3027",-5.79930157004147e-15,"cost",0,3
"71","brazil",10,3023,"change_in_emissions:3027",-5.27207479198221e-15,"cost",0,6
"72","brazil",10,3023,"change_in_emissions:3027",-8.66882502651487e-15,"cost",0,10
"73","brazil",10,3023,"change_in_emissions:3025",-2.89965078502074e-15,"cost",0,3
