"","region","time_period","strategy_id","difference_variable","difference_value","variable","value"
"1","brazil",0,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"2","brazil",1,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"3","brazil",10,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"4","brazil",11,3023,"diff_energy_consumption_scoe_total",-52.6030269260655,"technical_cost",-52.6030269260655
"5","brazil",12,3023,"diff_energy_consumption_scoe_total",-106.849513865267,"technical_cost",-106.849513865267
"6","brazil",13,3023,"diff_energy_consumption_scoe_total",-162.799294911129,"technical_cost",-162.799294911129
"7","brazil",14,3023,"diff_energy_consumption_scoe_total",-220.50951549858,"technical_cost",-220.50951549858
"8","brazil",15,3023,"diff_energy_consumption_scoe_total",-280.035037157265,"technical_cost",-280.035037157265
"9","brazil",16,3023,"diff_energy_consumption_scoe_total",-341.082515114934,"technical_cost",-341.082515114934
"10","brazil",17,3023,"diff_energy_consumption_scoe_total",-403.93632378793,"technical_cost",-403.93632378793
"11","brazil",18,3023,"diff_energy_consumption_scoe_total",-468.647444149852,"technical_cost",-468.647444149852
"12","brazil",19,3023,"diff_energy_consumption_scoe_total",-535.265770778985,"technical_cost",-535.265770778985
"13","brazil",2,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"14","brazil",20,3023,"diff_energy_consumption_scoe_total",-603.840296706821,"technical_cost",-603.840296706821
"15","brazil",21,3023,"diff_energy_consumption_scoe_total",-674.579778102672,"technical_cost",-674.579778102672
"16","brazil",22,3023,"diff_energy_consumption_scoe_total",-747.421069060697,"technical_cost",-747.421069060697
"17","brazil",23,3023,"diff_energy_consumption_scoe_total",-822.416714204319,"technical_cost",-822.416714204319
"18","brazil",24,3023,"diff_energy_consumption_scoe_total",-899.61908109778,"technical_cost",-899.61908109778
"19","brazil",25,3023,"diff_energy_consumption_scoe_total",-979.080501973003,"technical_cost",-979.080501973003
"20","brazil",26,3023,"diff_energy_consumption_scoe_total",-1060.86291628431,"technical_cost",-1060.86291628431
"21","brazil",27,3023,"diff_energy_consumption_scoe_total",-1145.03478621619,"technical_cost",-1145.03478621619
"22","brazil",28,3023,"diff_energy_consumption_scoe_total",-1231.65394891029,"technical_cost",-1231.65394891029
"23","brazil",29,3023,"diff_energy_consumption_scoe_total",-1320.77885499716,"technical_cost",-1320.77885499716
"24","brazil",3,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"25","brazil",30,3023,"diff_energy_consumption_scoe_total",-1412.46865959719,"technical_cost",-1412.46865959719
"26","brazil",31,3023,"diff_energy_consumption_scoe_total",-1506.39929981839,"technical_cost",-1506.39929981839
"27","brazil",32,3023,"diff_energy_consumption_scoe_total",-1603.00981706428,"technical_cost",-1603.00981706428
"28","brazil",33,3023,"diff_energy_consumption_scoe_total",-1702.36761825424,"technical_cost",-1702.36761825424
"29","brazil",34,3023,"diff_energy_consumption_scoe_total",-1804.54152588189,"technical_cost",-1804.54152588189
"30","brazil",35,3023,"diff_energy_consumption_scoe_total",-1909.60184085791,"technical_cost",-1909.60184085791
"31","brazil",4,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"32","brazil",5,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"33","brazil",6,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"34","brazil",7,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"35","brazil",8,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"36","brazil",9,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"37","chile",0,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"38","chile",1,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"39","chile",10,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"40","chile",11,3023,"diff_energy_consumption_scoe_total",-8.55899383606118,"technical_cost",-8.55899383606118
"41","chile",12,3023,"diff_energy_consumption_scoe_total",-17.4953755742687,"technical_cost",-17.4953755742687
"42","chile",13,3023,"diff_energy_consumption_scoe_total",-26.8189016538031,"technical_cost",-26.8189016538031
"43","chile",14,3023,"diff_energy_consumption_scoe_total",-36.5388982568035,"technical_cost",-36.5388982568035
"44","chile",15,3023,"diff_energy_consumption_scoe_total",-46.6643450248731,"technical_cost",-46.6643450248731
"45","chile",16,3023,"diff_energy_consumption_scoe_total",-57.1749716728567,"technical_cost",-57.1749716728567
"46","chile",17,3023,"diff_energy_consumption_scoe_total",-68.0994075932449,"technical_cost",-68.0994075932449
"47","chile",18,3023,"diff_energy_consumption_scoe_total",-79.4463019851127,"technical_cost",-79.4463019851127
"48","chile",19,3023,"diff_energy_consumption_scoe_total",-91.2241467738669,"technical_cost",-91.2241467738669
"49","chile",2,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"50","chile",20,3023,"diff_energy_consumption_scoe_total",-103.441329023634,"technical_cost",-103.441329023634
"51","chile",21,3023,"diff_energy_consumption_scoe_total",-116.213695821424,"technical_cost",-116.213695821424
"52","chile",22,3023,"diff_energy_consumption_scoe_total",-129.465454783017,"technical_cost",-129.465454783017
"53","chile",23,3023,"diff_energy_consumption_scoe_total",-143.205878828055,"technical_cost",-143.205878828055
"54","chile",24,3023,"diff_energy_consumption_scoe_total",-157.44428422035,"technical_cost",-157.44428422035
"55","chile",25,3023,"diff_energy_consumption_scoe_total",-172.190013096429,"technical_cost",-172.190013096429
"56","chile",26,3023,"diff_energy_consumption_scoe_total",-187.642470780252,"technical_cost",-187.642470780252
"57","chile",27,3023,"diff_energy_consumption_scoe_total",-203.651095334497,"technical_cost",-203.651095334497
"58","chile",28,3023,"diff_energy_consumption_scoe_total",-220.226809190086,"technical_cost",-220.226809190086
"59","chile",29,3023,"diff_energy_consumption_scoe_total",-237.380677699846,"technical_cost",-237.380677699846
"60","chile",3,3023,"diff_energy_consumption_scoe_total",0,"technical_cost",0
"61","chile",30,3023,"diff_energy_consumption_scoe_total",-255.123960330655,"technical_cost",-255.123960330655
