difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
totalvalue_enfu_fuel_consumed_ccsq_fuel_electricity,-500000,N/A,1,cb:enfu:fuel_cost:ccsq:electricity,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity
totalvalue_enfu_fuel_consumed_ccsq_fuel_hydrogen,-500000,N/A,1,cb:enfu:fuel_cost:ccsq:hydrogen,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen
totalvalue_enfu_fuel_consumed_ccsq_fuel_natural_gas,-500000,N/A,1,cb:enfu:fuel_cost:ccsq:natural_gas,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas
totalvalue_enfu_fuel_consumed_entc_fuel_biofuels,-500000,N/A,1,cb:enfu:fuel_cost:entc:biofuels,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biofuels
totalvalue_enfu_fuel_consumed_entc_fuel_biogas,-500000,N/A,1,cb:enfu:fuel_cost:entc:biogas,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biogas
totalvalue_enfu_fuel_consumed_entc_fuel_biomass,-500000,N/A,1,cb:enfu:fuel_cost:entc:biomass,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biomass
totalvalue_enfu_fuel_consumed_entc_fuel_coal,-500000,N/A,1,cb:enfu:fuel_cost:entc:coal,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coal
totalvalue_enfu_fuel_consumed_entc_fuel_coke,-500000,N/A,1,cb:enfu:fuel_cost:entc:coke,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,coke
totalvalue_enfu_fuel_consumed_entc_fuel_diesel,-500000,N/A,1,cb:enfu:fuel_cost:entc:diesel,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,diesel
totalvalue_enfu_fuel_consumed_entc_fuel_electricity,-500000,N/A,1,cb:enfu:fuel_cost:entc:electricity,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity
totalvalue_enfu_fuel_consumed_entc_fuel_gasoline,-500000,N/A,1,cb:enfu:fuel_cost:entc:gasoline,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline
totalvalue_enfu_fuel_consumed_entc_fuel_hydrocarbon_gas_liquids,-500000,N/A,1,cb:enfu:fuel_cost:entc:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids
totalvalue_enfu_fuel_consumed_entc_fuel_hydrogen,-500000,N/A,1,cb:enfu:fuel_cost:entc:hydrogen,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen
