difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
energy_demand_enfu_subsector_total_pj_inen_fuel_diesel,-8471713,$/PJ,1,cb:inen:air_pollution:X:diesel,Industrial air pollution (diesel),0,$0.31/l diesel      ,"We use the IMF’s fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industry’s use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",none
energy_demand_enfu_subsector_total_pj_inen_fuel_gasoline,-1161035,$/PJ,1,cb:inen:air_pollution:X:gasoline,Industrial air pollution (gasoline),0,$0.039/l gasoline      ,"We use the IMF’s fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industry’s use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",none
energy_demand_enfu_subsector_total_pj_inen_fuel_biomass,-3055862,$/PJ,1,cb:inen:air_pollution:X:biomass,Industrial air pollution (biomass),0,$3.05/GJ biomass,"We use the IMF’s fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industry’s use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",none
energy_demand_enfu_subsector_total_pj_inen_fuel_coal,-2468365,$/PJ,1,cb:inen:air_pollution:X:coal,Industrial air pollution (coal),0,$2.47/GJ coal,"We use the IMF’s fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industry’s use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",none
energy_demand_enfu_subsector_total_pj_inen_fuel_coke,-2468365,$/PJ,1,cb:inen:air_pollution:X:coke,Industrial air pollution (coke),0,$2.47/GJ coke,"We use the IMF’s fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industry’s use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",none
energy_demand_enfu_subsector_total_pj_inen_fuel_natural_gas,-122334,$/PJ,1,cb:inen:air_pollution:X:natural_gas,Industrial air pollution (natural gas),0,$0.12/GJ natural gas,"We use the IMF’s fossil fuel subsidies database (2021) to calculate the avoided air pollution costs of industrial fuel consumption. This database provides costs specific to industry’s use of coal and natural gas. We use coal costs for coke, and use costs shown in transport for diesel and gasoline. We use an average cost across all fuels for biomass.",none








