difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
energy_consumption_trns_public_diesel|energy_consumption_trns_road_heavy_freight_diesel|energy_consumption_trns_road_heavy_regional_diesel|energy_consumption_trns_road_light_diesel,-8471713,$/PJ,1,cb:trns:air_pollution:X:diesel,Transport air pollution (diesel),0,$0.31/l diesel      ,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided air pollution costs of fossil fuels used for road transport, averaged across LAC.",none
energy_consumption_trns_public_gasoline|energy_consumption_trns_road_heavy_freight_gasoline|energy_consumption_trns_road_heavy_regional_gasoline|energy_consumption_trns_road_light_gasoline,-1161035,$/PJ,1,cb:trns:air_pollution:X:gasoline,Transport air pollution (gasoline),0,$0.039/l gasoline      ,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided air pollution costs of fossil fuels used for road transport, averaged across LAC.",none
energy_consumption_trns_public_biofuels|energy_consumption_trns_road_heavy_freight_biofuels|energy_consumption_trns_road_heavy_regional_biofuels|energy_consumption_trns_road_light_biofuels,-1161035,$/PJ,1,cb:trns:air_pollution:X:biofuels,Transport air pollution (biofuels),0,$0.039/l biofuel,"We use the IMFÕs fossil fuel subsidies database (2021) to estimate the avoided air pollution costs of fossil fuels used for road transport, averaged across LAC.",none







