difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
mass_distance_traveled_trns_mt_km_aviation,-410000,$/mtkm,1,cb:trns:system_cost:freight_transport:aviation,Cost of freight transport (aviation),0,$0.41/ton-km for air,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",none
mass_distance_traveled_trns_mt_km_rail_freight,-14000,$/mtkm,1,cb:trns:system_cost:freight_transport:rail,Cost of freight transport (rail),0,$0.014/ton-km for rail,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",none
mass_distance_traveled_trns_mt_km_road_heavy_freight,-53000,$/mtkm,1,cb:trns:system_cost:freight_transport:road_heavy,Cost of freight transport (road),0,$0.053/ton-km for truck,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",none
mass_distance_traveled_trns_mt_km_water_borne,-10000,$/mtkm,1,cb:trns:system_cost:freight_transport:water_borne,Cost of freight transport (water borne),0,$0.01/ton-km for water,"We estimate the impact of mode shifting freight based on costs associated with freight transport in the US ($0.86/mtkm by air; $0.11/mtkm by truck; 0.03/mtkm by rail, and $0.02/mtkm by water) and adjust to LAC (US BTS, 2022). We exclude fuel costs, assuming they account for 10% of the total cost.",









