strategy,strategy_code,comparison_code,evaluate_system_costs,evaluate_transformation_costs
PFLO: All actions without deforestation,PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR,LNDU:PLUR,1,1
PFLO: All transformations with partial land use reallocation,PFLO:ALL_PLUR,LNDU:PLUR,1,1
PFLO: Incremental Improvements,PFLO:BETTER_BASE,LNDU:PLUR,1,1
PFLO: Better Diets,PFLO:BETTER_DIETS,LNDU:PLUR,1,1
PFLO: Better Diets with PLUR,PFLO:BETTER_DIETS_PLUR,LNDU:PLUR,1,1
PFLO: Changing Consumption,PFLO:CHANGE_CONSUMPTION,LNDU:PLUR,1,1
PFLO: Supply Side technology,PFLO:SUPPLY_SIDE_TECH,LNDU:PLUR,1,1
PFLO: All without Plur,PFLO:ALL,LNDU:PLUR,1,1
PFLO: Industrial point of capture CCSQ,PFLO:IND_INC_CCS,LNDU:PLUR,1,1
TRNS: Mode shift regional passenger travel,TRNS:MODE_SHIFT_REGIONAL,LNDU:PLUR,1,1
TRNS: Mode shift passenger vehicles to others,TRNS:MODE_SHIFT_PASSENGER,LNDU:PLUR,1,1
TRNS: Mode shift freight,TRNS:MODE_SHIFT_FREIGHT,LNDU:PLUR,1,1
TRNS: Increase occupancy for private vehicles,TRNS:INC_OCCUPANCY,LNDU:PLUR,1,1
TRNS: Increase transportation non-electricity energy efficiency,TRNS:INC_EFFICIENCY_NON_ELEC,LNDU:PLUR,1,1
TRNS: Increase transportation electricity energy efficiency,TRNS:INC_EFFICIENCY_ELEC,LNDU:PLUR,1,1
TRNS: Electrify rail,TRNS:FUEL_SWITCH_RAIL,LNDU:PLUR,1,1
TRNS: Fuel switch medium duty road transport,TRNS:FUEL_SWITCH_MEDIUM_DUTY,LNDU:PLUR,1,1
TRNS: Fuel switch maritime,TRNS:FUEL_SWITCH_MARITIME,LNDU:PLUR,1,1
TRNS: Electrify light duty road transport,TRNS:FUEL_SWITCH_LIGHT_DUTY,LNDU:PLUR,1,1
TRNS: Reduce demand for transport,TRNS:DEC_DEMAND,LNDU:PLUR,0,1
TRNS: Mode shift bundle,TRNS:BUNDLE_MODE_SHIFT,LNDU:PLUR,0,1
TRNS: Fuel switch bundle,TRNS:BUNDLE_FUEL_SWITCH,LNDU:PLUR,0,1
TRNS: Demand management bundle,TRNS:BUNDLE_DEMAND_MANAGEMENT,LNDU:PLUR,0,1
TRNS: All Transportation transformations,TRNS:ALL,LNDU:PLUR,0,1
TRNS: Efficiency bundle,TRNS_BUNDLE_EFFICIENCY,LNDU:PLUR,0,1
