interaction_name,transformation_code,variable,relative_effect,scale_variable
SCOE,TX:SCOE:INC_EFFICIENCY_APPLIANCE,cb:scoe:technical_cost:efficiency:appliance,0.9,1
SCOE,TX:SCOE:FUEL_SWITCH_HEAT,cb:scoe:technical_cost:fuel_switch:heat_pumps,0.05,1
SCOE,TX:SCOE:FUEL_SWITCH_HEAT,cb:scoe:technical_savings:fuel_switch:heat_pumps,0.05,1
SCOE,TX:SCOE:DEC_DEMAND_HEAT,cb:scoe:technical_cost:efficiency:building_shell,0.05,1
INEN,TX:INEN:FUEL_SWITCH_LO_HEAT,cb:inen:technical_cost:fuel_switch:lo_heat,0.38132951,1
INEN,TX:INEN:FUEL_SWITCH_LO_HEAT,cb:inen:technical_savings:fuel_switch:lo_heat,0.38132951,1
INEN,TX:INEN:FUEL_SWITCH_HI_HEAT,cb:inen:technical_cost:fuel_switch:hi_heat,0.07418829,1
INEN,TX:INEN:FUEL_SWITCH_HI_HEAT,cb:inen:technical_savings:fuel_switch:hi_heat,0.07418829,1
INEN,TX:INEN:FUEL_SWITCH_HI_AND_LO_HEAT,cb:inen:technical_cost:fuel_switch:all,0.4555178,1
INEN,TX:INEN:FUEL_SWITCH_HI_AND_LO_HEAT,cb:inen:technical_savings:fuel_switch:all,0.4555178,1
INEN,TX:INEN:INC_EFFICIENCY_ENERGY,cb:inen:technical_cost:efficiency:X,0.35981652,1
INEN,TX:IPPU:DEC_DEMAND,cb:ippu:value:industrial_products:cement,0.18466569,0
