time_period,ef_agrc_anaerobicdom_rice_kg_ch4_ha
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0.982692308
11,0.965384615
12,0.948076923
13,0.930769231
14,0.913461538
15,0.896153846
16,0.878846154
17,0.861538462
18,0.844230769
19,0.826923077
20,0.809615385
21,0.792307692
22,0.775
23,0.757692308
24,0.740384615
25,0.723076923
26,0.705769231
27,0.688461538
28,0.671153846
29,0.653846154
30,0.636538462
31,0.619230769
32,0.601923077
33,0.584615385
34,0.567307692
35,0.55
