variable,difference_variable,population_variable
frac_wali_ww_domestic_rural_treatment_path_advanced_aerobic,pop_omit_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_advanced_anaerobic,pop_omit_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_latrine_improved,pop_improved_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,pop_unimproved_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_primary,pop_omit_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_secondary_aerobic,pop_omit_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_secondary_anaerobic,pop_omit_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_septic,pop_safelymanaged_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,pop_unimproved_rural,population_gnrl_rural
frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,pop_improved_rural,population_gnrl_rural
frac_wali_ww_domestic_urban_treatment_path_advanced_aerobic,pop_safelymanaged_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_advanced_anaerobic,pop_safelymanaged_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_latrine_improved,pop_improved_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,pop_unimproved_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_primary,pop_improved_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_secondary_aerobic,pop_safelymanaged_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_secondary_anaerobic,pop_safelymanaged_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_septic,pop_improved_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,pop_unimproved_urban,population_gnrl_urban
frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage,pop_improved_urban,population_gnrl_urban



