Gas,gas_suffix,Name,Flourinated Compound Designation,,
CH4,ch4,Methane,none,,
CO2,co2,Carbon Dioxide,none,,
N2O,n2o,Nitrus Oxide,none,,
NF3,nf3,Nitrogen Trifluoride,Other FC,,
SF6,sf6,Sulfur Hexflouride,Other FC,,
Dodecafluoropentane,c5f12,Dodecafluoropentane,Other FC,,
,,,,,
,,,,,
HCFC-141b,ch3cci2f,"1,1-Dichloro-1-fluoroethane (HCFC-141b)",Other FC,,
HCFC-142b,ch3ccif2,"1-Chloro-1,1-difluoroethane (HCFC-142b)",Other FC,,
Hexadecafluoroheptane,c7f16,Hexadecafluoroheptane,Other FC,,
HFC-125,c2hf5,Pentafluoroethane (HFC-125),HFC,,
HFC-134,chf2chf2,"1,1,2,2-Tetrafluoroethane (HFC-134)",HFC,,
HFC-134a,chf2cf3,"1,1,1,2-Tetrafluoroethane (HFC-134a)",HFC,,
HFC-143,ch2fchf2,"1,1,2-Trifluoroethane (HFC-143)",HFC,,
HFC-143a,c2h3f3,"1,1,1-Trifluoroethane (HFC-143a)",HFC,,
HFC-152,ch2fch2f,"1,2-Difluoroethane (HFC-152)",HFC,,
HFC-152a,ch3chf2,"1,1-Difluoroethane (HFC-152a)",HFC,,
HFC-227ea,c3hf7,"1,1,1,2,3,3,3-Heptafluoropropane (HFC-227ea)",HFC,,
HFC-23,chf3,Trifluoromethane (HFC-23),HFC,,
HFC-236fa,c3h2f6,"1,1,1,3,3,3-Hexafluoropropane (HFC-236fa)",HFC,,
HFC-245fa,c3h3f5,Pentafluoropropane (HFC-245fa),HFC,,
HFC-32,ch2f2,Difluoromethane (HFC-32),HFC,,
HFC-365mfc,c4h5f5,"1,1,1,3,3-Pentafluorobutane (HFC-365mfc)",HFC,,
HFC-41,ch3f,Fluoromethane (HFC-41),HFC,,
HFC-43-10mee,c5h2f10,"2,3-Dihydrodeca-fluoropentane (HFC-43-10mee)",HFC,,
Octadecafluorooctane,c8f18,Octadecafluorooctane,Other FC,,
,,,,,
,,,,,
Octafluorooxolane,c4f8o,Octafluorooxolane/Octafluorotetrahydrofuran,Other FC,,
,,,,,
,,,,,
PFC-1114,c4f6,Hexafluorobutadiene (PFC-1114),PFC,,
PFC-116,c2f6,Perfluoroethane (PFC-116),PFC,,
PFC-14,cf4,Perfluoromethane (PFC-14),PFC,,
PFC-218,c3f8,Perfluoropropane (PFC-218),PFC,,
PFC-31-10,c4f10,Perflubutane/Decafluorobutane (PFC-31-10),PFC,,
PFC-51-14,c6f14,Perfluorohexane/Tetradecafluorohexane (PFC-51-14),PFC,,
PFC-C-1418,c5f8,Octafluorocyclopentene (PFC-C-1418),PFC,,
PFC-C-318,cc4f8,Perfluorocyclobutane (PFC-C-318),PFC,,
