transformation_code,include,include_variant,test_id_variant_suffix,comparison_id_variant,cb_function,difference_variable,multiplier,multiplier.unit,annual.change,arg1,arg2,output_variable_name,output_display_name,sum,natural.multiplier.units,display_notes,internal_notes,output_variable_OLD
TX:INEN:FUEL_SWITCH_LO_HEAT,1,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,463333,$/PJ,0.8871931,,,cb:inen:technical_cost:fuel_switch:lo_heat,Cost of low temp heat pumps,0,$5/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none,inen_technical_cost_fuel_switch_lo_heat
TX:INEN:FUEL_SWITCH_LO_HEAT,1,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400,$/PJ,1,,,cb:inen:technical_savings:fuel_switch:lo_heat,Maintenance savings of low temp heat pumps,0,$0.90/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none,inen_technical_savings_fuel_switch_lo_heat
TX:INEN:FUEL_SWITCH_HI_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,1.39E+06,$/PJ,1,,,cb:inen:technical_cost:fuel_switch:hi_heat,Cost of high temp heat pumps,0,$15/mwh,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.","Because the model doesn't output thermal demand, we apply the cost to the difference in energy demand, assuming that each PJ of thermal demand that shifts to electricity, 3 fewer PJ of energy are required. Therefore, we apply a 1/3 of the cost to each energy PJ. WE further convert $5/mwh to PJ using the conversion 2.78 x 10^5 MWH/PJ. So delta_PJ * 2.78 MWh/PJ * 1mwhthermal/3PJ * $5/mwhthermal = $463333/PJ",inen_technical_cost_fuel_switch_hi_heat
TX:INEN:FUEL_SWITCH_HI_HEAT,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-8.34E+04,$/PJ,1,,,cb:inen:technical_savings:fuel_switch:hi_heat,Maintenance savings of high temp heat pumps and hydrogen,0,$0.90/MWh thermal demand,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.",,inen_technical_savings_fuel_switch_hi_heat
TX:INEN:FUEL_SWITCH_HI_AND_LO_HEAT,1,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,6.49E+05,$/PJ,0.8871931,,,cb:inen:technical_cost:fuel_switch:all,Cost of low temp heat pumps,0,$7/MWh thermal,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented). We assume high heat fuel switching is three times as expensive as low-heat fuel switching, but has the same maintenance savings, and create a weighted cost based on their relative reductions in energy consumption",none,inen_technical_cost_fuel_switch
TX:INEN:FUEL_SWITCH_HI_AND_LO_HEAT,1,0,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,-83400,$/PJ,1,,,cb:inen:technical_savings:fuel_switch:all,Maintenance savings of low temp heat pumps,0,$0.90/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented). We assume high heat fuel switching is three times as expensive as low-heat fuel switching, but has the same maintenance savings, and create a weighted cost based on their relative reductions in energy consumption",none,inen_technical_savings_fuel_switch
TX:INEN:INC_EFFICIENCY_ENERGY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_inen_total,1.00E+07,$/PJ,1,,,cb:inen:technical_cost:efficiency:X,Cost of energy efficiency,0,$10/GJ,"Talaei et al. (2019, Table 4) and Talaei et al. (2020, Table 6) estimate that the capital cost of increasing energy efficiency of the existing Canadian cement and steel industries, respectively.  Average cost across interventions in both industries are CAD$18/GJ for cement in and CAD$44/GJ for steel. The United Nations Industrial Development Organization (2014) estimates costs for steam energy efficiency in China between $0 and $0 per GJ saved. We anticipate that costs in LAC may be closer to China than Canada and use a subjective weighted average, adjusting to LAC 2019 dollars.",,inen_technical_cost_efficiency
TX:TRNS:FUEL_SWITCH_LIGHT_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_light_electricity,-0.039,$/vkm,0.9,,,cb:trns:technical_cost:electrification:LDV,EV + Charger Cost,0,$0.039/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",,trns_technical_cost_electrification_LDV
TX:TRNS:FUEL_SWITCH_LIGHT_DUTY,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,vehicle_distance_traveled_trns_road_light_electricity,0.012,$/vkm,1,,,cb:trns:technical_savings:electrification:LDV,EV Maintenance,0,$0.012/km,"These costs reflect the marginal capital and maintenance costs of EV versus ICE LDVs, per km. In the United States, light duty EVs are estimated to have approximately $12,000 of higher up front cost (Baik et al., 2019) than traditional LDVs and have $949/year lower maintenance costs (AAA, 2019) than their ICE counterparts. We approximate that charging infrastructure may involve an additional $1000 in capital cost per EV, consistent with data from the United States on the costs (Purnazeri, 2022) and deployment of charging stations (evadoption, 2021). The per-km capital cost shown in the table assumes vehicles are driven 15,000 kilometers per year (Ecola et al., 2008) and have a 12-year lifespan, consistent with data on vehicle lifetimes in the United States (BTS, undated). Costs are then adjusted to 2019 costs for LAC.",,trns_technical_savings_maintenance_electrify_LDV
TX:TRNS:FUEL_SWITCH_RAIL,1,,REP,ENTC:TARGET_RENEWABLE_ELEC,cb_difference_between_two_strategies,energy_consumption_trns_rail_*_electricity,-422400000,$/PJ,1,,,cb:trns:technical_cost:electrification:rail,Electric Rail Capital Cost,1,$0.0025/mt-km and /pkm,"Popovich et al. (2021) estimate the capital and maintenance cost of electrifying freight rail. In the absence of other information, we assume that electrifying passenger rail will have similar costs per person-km, with lower mass of passengers compared to freight offset out by climate control, lower density, and other variables.",,trns_technical_cost_electrification_rail
