variable,i_or_e
cb:agrc:consumer_savings:cons_ag_land_value:X,External
cb:agrc:crop_value:crops_produced:bevs_and_spices,Internal
cb:agrc:crop_value:crops_produced:cereals,Internal
cb:agrc:crop_value:crops_produced:fibers,Internal
cb:agrc:crop_value:crops_produced:fruits,Internal
cb:agrc:crop_value:crops_produced:herbs,Internal
cb:agrc:crop_value:crops_produced:nuts,Internal
cb:agrc:crop_value:crops_produced:other_annual,Internal
cb:agrc:crop_value:crops_produced:other_woody_perennial,Internal
cb:agrc:crop_value:crops_produced:pulses,Internal
cb:agrc:crop_value:crops_produced:rice,Internal
cb:agrc:crop_value:crops_produced:sugar_cane,Internal
cb:agrc:crop_value:crops_produced:tubers,Internal
cb:agrc:crop_value:crops_produced:vegetables,Internal
cb:agrc:technical_cost:increase_productivity:X,Internal
cb:agrc:technical_cost:producer_food_waste:X,Internal
cb:agrc:technical_cost:rice_mgmt:X,Internal
cb:agrc:technical_savings:cons_ag:X,Internal
cb:agrc:technical_savings:producer_food_waste:X,Internal
cb:ccsq:sector_specific:fuel_cost:X,Internal
cb:enfu:fuel_cost:X:X,Internal
cb:entc:air_pollution:X:biofuels,External
cb:entc:air_pollution:X:diesel,External
cb:entc:air_pollution:X:gasoline,External
cb:entc:sector_specific:fuel_cost:X,Internal
cb:entc:technical_cost:electricity:capex,Internal
cb:entc:technical_cost:electricity:opex,Internal
cb:entc:technical_cost:electricity:transmission,Internal
cb:entc:technical_cost:loss_reduction:electricity,Internal
cb:fgtv:technical_cost:flaring:X,Internal
cb:fgtv:technical_cost:leaks:X,Internal
cb:inen:air_pollution:X:biomass,External
cb:inen:air_pollution:X:coal,External
cb:inen:air_pollution:X:coke,External
cb:inen:air_pollution:X:diesel,External
cb:inen:air_pollution:X:gasoline,External
cb:inen:air_pollution:X:natural_gas,External
cb:inen:sector_specific:fuel_cost:X,Internal
cb:inen:technical_cost:efficiency:X,Internal
cb:inen:technical_cost:fuel_switch:all,Internal
cb:inen:technical_savings:fuel_switch:all,Internal
cb:ippu:air_pollution:X:cement,External
cb:ippu:ippu_value:industrial_products:cement,Internal
cb:ippu:ippu_value:industrial_products:steel,Internal
cb:ippu:technical_cost:abating_gases:hfcs,Internal
cb:ippu:technical_cost:abating_gases:n2o,Internal
cb:ippu:technical_cost:abating_gases:other_fgases,Internal
cb:ippu:technical_cost:abating_gases:pfcs,Internal
cb:ippu:technical_cost:ccs:cement,Internal
cb:ippu:technical_cost:ccs:chemicals,Internal
cb:ippu:technical_cost:ccs:metals,Internal
cb:ippu:technical_savings:clinker:X,Internal
cb:lndu:ecosystem_services:forests:primary,External
cb:lndu:ecosystem_services:forests:secondary,External
